napa | ওষুধ | নাপা (প্যারাসিটামল) | জ্বর ও ব্যথানাশক | ভরা পেটে ১-২টি ট্যাবলেট। ১.২০ টাকা পিস।
seclo 20 | স্কয়ার ফার্মাসিউটিক্যালস | ওমেপ্রাজল ২০ মি.গ্রা. | উপকারিতা: গ্যাস্ট্রিক ও বুক জ্বালাপোড়া কমায়। অপকারিতা: মাথা ঘামানো বা কোষ্ঠকাঠিন্য। ব্যবহার: খালি পেটে প্রতিদিন ১টি। মূল্য: ৫.০০ টাকা।
napa rapid | বেক্সিমকো ফার্মাসিউটিক্যালস | প্যারাসিটামল ৫০০ মি.গ্রা. | উপকারিতা: দ্রুত জ্বর ও মাথাব্যথা কমায়। অপকারিতা: দীর্ঘমেয়াদে লিভারের ক্ষতি। ব্যবহার: ভরা পেটে ১-২টি। মূল্য: ১.৫০ টাকা।
fexo 180 | এ্যারিস্টোফার্মা | ফেক্সোফেনাডিন ১৮০ মি.গ্রা. | উপকারিতা: তীব্র অ্যালার্জি ও হাঁচি রোধ। অপকারিতা: ঝিমুনি ভাব। ব্যবহার: প্রতিদিন রাতে ১টি। মূল্য: ১০.০০ টাকা।
maxpro 20 | রেনাটা লিমিটেড | ইসোমিপ্রাজল ২০ মি.গ্রা. | উপকারিতা: আলসার ও এসিডিটি নিরাময়। অপকারিতা: পেট ফাঁপা। ব্যবহার: খাওয়ার ২০ মিনিট আগে। মূল্য: ৭.০০ টাকা।
monas 5 | একমি ল্যাবরেটরিজ | মনটেলুকাস্ট ৫ মি.গ্রা. (শিশুদের জন্য) | উপকারিতা: হাঁপানি ও শ্বাসকষ্ট নিয়ন্ত্রণ। অপকারিতা: দুঃস্বপ্ন দেখা। ব্যবহার: রাতে ১টি চিবিয়ে খাওয়া। মূল্য: ৮.০০ টাকা।
zithrin 500 | ওপসোনিম ফার্মাসিউটিক্যালস | অ্যাজিথ্রোমাইসিন ৫০০ মি.গ্রা. | উপকারিতা: টনসিল ও শ্বাসতন্ত্রের ইনফেকশন। অপকারিতা: ডায়রিয়া। ব্যবহার: ১ ঘণ্টা আগে বা ২ ঘণ্টা পরে। মূল্য: ৩৫.০০ টাকা।
ace plus | স্কয়ার ফার্মাসিউটিক্যালস | প্যারাসিটামল ও ক্যাফেইন | উপকারিতা: তীব্র মাথাব্যথা ও শরীরের ব্যথা। অপকারিতা: অনিদ্রা। ব্যবহার: ভরা পেটে ১-২টি। মূল্য: ২.৫০ টাকা।
alatrol 10 | একমি ল্যাবরেটরিজ | সেটিরিজিন ১০ মি.গ্রা. | উপকারিতা: চুলকানি ও অ্যালার্জি। অপকারিতা: হালকা ঘুম। ব্যবহার: রাতে ১টি। মূল্য: ৩.৫০ টাকা।
losectil 40 | এসকেএফ (SK+F) | ওমেপ্রাজল ৪০ মি.গ্রা. | উপকারিতা: তীব্র গ্যাস্ট্রিক ও হাইপার এসিডিটি। অপকারিতা: হাড়ের ক্যালসিয়াম কমায়। ব্যবহার: খালি পেটে। মূল্য: ১০.০০ টাকা।
fenadin 180 | রেনাটা লিমিটেড | ফেক্সোফেনাডিন ১৮০ মি.গ্রা. | উপকারিতা: দীর্ঘস্থায়ী অ্যালার্জি ও সর্দি। অপকারিতা: মাথাব্যথা। ব্যবহার: দৈনিক ১টি। মূল্য: ১২.০০ টাকা।
sergel 40 | হেলথকেয়ার ফার্মাসিউটিক্যালস | ইসোমিপ্রাজল ৪০ মি.গ্রা. | উপকারিতা: আলসার ও বুক জ্বালাপোড়া। অপকারিতা: পেট কামড়ানো। ব্যবহার: সকালে খালি পেটে। মূল্য: ১১.০০ টাকা।
etoric 90 | পপুলার ফার্মাসিউটিক্যালস | এটোরিকক্সিব ৯০ মি.গ্রা. | উপকারিতা: হাড়ের জোড়া ও বাতের ব্যথা। অপকারিতা: উচ্চ রক্তচাপ বৃদ্ধি। ব্যবহার: ভরা পেটে দিনে ১টি। মূল্য: ১২.০০ টাকা।
thyrox 50 | বিকন ফার্মাসিউটিক্যালস | লেভোথাইরক্সিন ৫০ মাইক্রোগ্রাম | উপকারিতা: থাইরয়েড হরমোনের ঘাটতি পূরণ। অপকারিতা: বুক ধড়ফড় করা। ব্যবহার: সকালে একদম খালি পেটে। মূল্য: ৫.০০ টাকা।
diamicron 60 | ইনসেপ্টা ফার্মাসিউটিক্যালস | গ্লিক্লাজাইড ৬০ মি.গ্রা. | উপকারিতা: ডায়াবেটিস নিয়ন্ত্রণ। অপকারিতা: ওজন বৃদ্ধি। ব্যবহার: সকালের নাস্তার সাথে। মূল্য: ১০.০০ টাকা।
bizoran 5/20 | ড্রাগ ইন্টারন্যাশনাল | আমলোডিপাইন ৫ ও ওলমেসারটান ২০ | উপকারিতা: উচ্চ রক্তচাপ নিয়ন্ত্রণ। অপকারিতা: পা ফোলা। ব্যবহার: প্রতিদিন ১টি। মূল্য: ১২.০০ টাকা।
deslor 5 | এ্যারিস্টোফার্মা | ডেসলোরাটাদিন ৫ মি.গ্রা. | উপকারিতা: নাক দিয়ে পানি পড়া ও সর্দি। অপকারিতা: মুখে শুষ্কতা। ব্যবহার: রাতে ১টি। মূল্য: ৭.০০ টাকা।
pantix 40 | ইনসেপ্টা ফার্মাসিউটিক্যালস | প্যান্টোপ্রাজল ৪০ মি.গ্রা. | উপকারিতা: গ্যাস্ট্রিক ও পেটে গ্যাস। অপকারিতা: মাথা ঘোরা। ব্যবহার: খালি পেটে। মূল্য: ৯.০০ টাকা।
ecosprin 150 | একমি ল্যাবরেটরিজ | এসপিরিন ১৫০ মি.গ্রা. | উপকারিতা: রক্ত পাতলা রাখা ও হার্ট সুরক্ষা। অপকারিতা: রক্তপাতের ঝুঁকি। ব্যবহার: ভরা পেটে। মূল্য: ২.০০ টাকা।
clopid as | বিকন ফার্মাসিউটিক্যালস | ক্লোপিডোগ্রেল ও এসপিরিন | উপকারিতা: স্ট্রোক ও হার্ট অ্যাটাক রোধ। অপকারিতা: পেটে জ্বালাপোড়া। ব্যবহার: রাতে ভরা পেটে। মূল্য: ১৫.০০ টাকা।
neuro-b | স্কয়ার ফার্মাসিউটিক্যালস | ভিটামিন বি১, বি৬ ও বি১২ | উপকারিতা: নার্ভের দুর্বলতা ও ঝিনঝিন করা। অপকারিতা: নেই। ব্যবহার: দৈনিক ১-২টি। মূল্য: ৬.০০ টাকা।
calbo d | স্কয়ার ফার্মাসিউটিক্যালস | ক্যালসিয়াম ৫০০ মি.গ্রা. ও ভিটামিন ডি৩ | উপকারিতা: হাড় মজবুত করে। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: ভরা পেটে। মূল্য: ৮.০০ টাকা।
neobion | ইনসেপ্টা ফার্মাসিউটিক্যালস | ভিটামিন বি কমপ্লেক্স | উপকারিতা: মুখে ঘা ও স্নায়বিক শক্তি। অপকারিতা: প্রস্রাব হলুদ হওয়া। ব্যবহার: প্রতিদিন ১-২টি। মূল্য: ৫.০০ টাকা।
torenta 400 | রেনাটা লিমিটেড | পেন্টক্সিফাইলিন ৪০০ মি.গ্রা. | উপকারিতা: রক্ত চলাচলের উন্নতি। অপকারিতা: বমি ভাব। ব্যবহার: প্রতিদিন ১টি। মূল্য: ৫.০০ টাকা।
moduretic | ড্রাগ ইন্টারন্যাশনাল | অ্যামিলোরাইড ও হাইড্রোক্লোরোথিয়াজাইড | উপকারিতা: উচ্চ রক্তচাপ ও শরীরের ফোলা কমানো। অপকারিতা: পটাশিয়াম বৃদ্ধি। ব্যবহার: সকালে। মূল্য: ৫.০০ টাকা।
moxacil 500 | পপুলার ফার্মাসিউটিক্যালস | অ্যামোক্সিসিলিন ৫০০ মি.গ্রা. | উপকারিতা: গলা ও কানের ইনফেকশন। অপকারিতা: চুলকানি। ব্যবহার: ৮ ঘণ্টা পর পর। মূল্য: ৭.০০ টাকা।
flagyl 200 | ইনসেপ্টা ফার্মাসিউটিক্যালস | মেট্রোনিডাজল ২০০ মি.গ্রা. | উপকারিতা: বাচ্চাদের আমাশয় ও পেটের সমস্যা। অপকারিতা: বমি ভাব। ব্যবহার: সিরাপ আকারে। মূল্য: ৩০-৩৫ টাকা (ফাইল)।
revert 10 | একমি ল্যাবরেটরিজ | ডমপেরিডন ১০ মি.গ্রা. | উপকারিতা: বমি বমি ভাব ও বদহজম। অপকারিতা: স্তনে ব্যথা। ব্যবহার: খাবারের ২০ মিনিট আগে। মূল্য: ৪.০০ টাকা।
savlon hc | এসিআই লিমিটেড | স্যাভলন হ্যান্ড ক্লিনার | উপকারিতা: জীবাণু থেকে সুরক্ষা। অপকারিতা: ত্বক শুষ্ক হওয়া। ব্যবহার: প্রয়োজন অনুযায়ী। মূল্য: ৪০-৮০ টাকা।
viodin 10% | ওপসোনিম ফার্মাসিউটিক্যালস | পোভিডোন আয়োডিন | উপকারিতা: জখম ও কাটা জায়গা পরিষ্কার। অপকারিতা: চামড়া কালো হওয়া। ব্যবহার: বাহ্যিক। মূল্য: ৫০.০০ টাকা।
burnsil cream | ইনসেপ্টা ফার্মাসিউটিক্যালস | সিলভার সালফাদিয়াজিন | উপকারিতা: পোড়া ক্ষতের দ্রুত নিরাময়। অপকারিতা: চামড়া সংবেদনশীল হওয়া। ব্যবহার: ক্ষতে ঘন প্রলেপ। মূল্য: ৬০.০০ টাকা।
xylomet 0.1% | এ্যারিস্টোফার্মা | জাইলোমেটাজোলিন | উপকারিতা: বড়দের বন্ধ নাক খোলা। অপকারিতা: নাকে জ্বালা। ব্যবহার: ২ ফোঁটা করে ৩ বার। মূল্য: ২০.০০ টাকা।
c-vit | স্কয়ার ফার্মাসিউটিক্যালস | ভিটামিন সি ২৫০ মি.গ্রা. | উপকারিতা: মাড়ি ও ত্বক সুরক্ষা। অপকারিতা: এসিডিটি। ব্যবহার: চিবিয়ে খাওয়া। মূল্য: ১.৫০ টাকা।
b-complex | এসকেএফ (SK+F) | ভিটামিন বি গ্রুপ | উপকারিতা: দুর্বলতা ও খাবারের রুচি। অপকারিতা: ক্ষুধা বৃদ্ধি। ব্যবহার: দৈনিক ২ বার। মূল্য: ২.০০ টাকা।
folic acid 5 | রেনাটা লিমিটেড | ফলিক এসিড ৫ মি.গ্রা. | উপকারিতা: রক্তস্বল্পতা ও গর্ভাবস্থায়। অপকারিতা: পেটে গ্যাস। ব্যবহার: প্রতিদিন ১টি। মূল্য: ১.০০ টাকা।
entacyd plus | স্কয়ার ফার্মাসিউটিক্যালস | এন্টাসিড ও সিম্পথিকোন | উপকারিতা: গ্যাসের কারণে পেট ফোলার আরাম। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: চিবিয়ে খাওয়া। মূল্য: ২.৫০ টাকা।
orsaline fruit | এসকেএফ (SK+F) | ওআরএস ফ্রুট ফ্লেভার | উপকারিতা: ডায়রিয়া ও পানিশূন্যতা রোধ। অপকারিতা: নেই। ব্যবহার: আধা লিটার পানিতে। মূল্য: ৬.০০ টাকা।
parapyrol | বেক্সিমকো ফার্মাসিউটিক্যালস | প্যারাসিটামল ড্রপ (শিশুদের) | উপকারিতা: বাচ্চাদের জ্বর ও ব্যথা। অপকারিতা: অতিরিক্ত মাত্রায় বিপদ। ব্যবহার: ড্রপার দিয়ে মেপে। মূল্য: ৩৫.০০ টাকা।
betameson | পপুলার ফার্মাসিউটিক্যালস | বেটামেথাসন ক্রিম | উপকারিতা: চর্মরোগ ও তীব্র চুলকানি। অপকারিতা: ত্বক পাতলা হওয়া। ব্যবহার: বাহ্যিক। মূল্য: ২০.০০ টাকা।
alacot 0.1% | হেলথকেয়ার ফার্মাসিউটিক্যালস | ওলোপাটাদিন চোখের ড্রপ | উপকারিতা: চোখের চুলকানি ও অ্যালার্জি। অপকারিতা: ঝাপসা দেখা। ব্যবহার: ১ ফোঁটা ৩ বার। মূল্য: ১২০.০০ টাকা।
modina powder | একমি ল্যাবরেটরিজ | ইসবগুলের ভুষি মিশ্রিত | উপকারিতা: কোষ্ঠকাঠিন্য ও পাইলস। অপকারিতা: পেট মোচড়ানো। ব্যবহার: গ্লাসে গুলিয়ে সাথে সাথে। মূল্য: ৫.০০ টাকা।
nystat | রেনাটা লিমিটেড | নাইস্ট্যাটিন ওরাল ড্রপ | উপকারিতা: মুখের ভেতর সাদা ঘা। অপকারিতা: বমি ভাব। ব্যবহার: ঘায়ের উপর ফোঁটা ফোঁটা। মূল্য: ৪৫.০০ টাকা।
amodis 400 | এ্যারিস্টোফার্মা | মেট্রোনিডাজল ৪০০ মি.গ্রা. | উপকারিতা: আমাশয় ও পেটের ইনফেকশন। অপকারিতা: মুখের স্বাদ তিতা হওয়া। ব্যবহার: ৫ দিন নিয়মিত। মূল্য: ৫.০০ টাকা।
doxiva 200 | হেলথকেয়ার ফার্মাসিউটিক্যালস | ডক্সোফাইলিন ২০০ মি.গ্রা. | উপকারিতা: অ্যাজমা ও কাশির সমস্যা। অপকারিতা: হাত কাঁপা। ব্যবহার: প্রতিদিন ১টি। মূল্য: ৮.০০ টাকা।
calbo jr | স্কয়ার ফার্মাসিউটিক্যালস | ক্যালসিয়াম চকোলেট ফ্লেভার | উপকারিতা: বাচ্চাদের হাড় ও দাঁতের গঠন। অপকারিতা: এসিডিটি। ব্যবহার: প্রতিদিন ১টি। মূল্য: ৬.০০ টাকা।
myolax 2 | ইনসেপ্টা ফার্মাসিউটিক্যালস | টিজানিডিন ২ মি.গ্রা. | উপকারিতা: পেশির খিঁচুনি ও পিঠের ব্যথা। অপকারিতা: ঘুম ও ক্লান্তি। ব্যবহার: রাতে ১টি। মূল্য: ৪.০০ টাকা।
vergon 16 | ড্রাগ ইন্টারন্যাশনাল | বেটাহিস্টিন ১৬ মি.গ্রা. | উপকারিতা: মাথা ঘোরা ও কানের ভেতর শব্দ। অপকারিতা: পেটে অস্বস্তি। ব্যবহার: দিনে ৩ বার। মূল্য: ৬.০০ টাকা।
savlon handwash | এসিআই লিমিটেড | লিকুইড হ্যান্ডওয়াশ | উপকারিতা: হাত জীবাণুমুক্ত করা। অপকারিতা: নেই। ব্যবহার: ধোয়ার সময়। মূল্য: ৫০-১৫০ টাকা।
maxpro 40 | রেনাটা লিমিটেড | ইসোমিপ্রাজল ৪০ মি.গ্রা. | উপকারিতা: দীর্ঘস্থায়ী এসিডিটি ও আলসার। অপকারিতা: কিডনি জটিলতা। ব্যবহার: সকালে খালি পেটে। মূল্য: ১২.০০ টাকা।
sergel 20 | হেলথকেয়ার ফার্মাসিউটিক্যালস | ইসোমিপ্রাজল ২০ মি.গ্রা. | উপকারিতা: বুক জ্বালাপোড়া ও পেট ফাঁপা। অপকারিতা: হজমে সমস্যা। ব্যবহার: খাওয়ার আগে। মূল্য: ৭.০০ টাকা।
fexo 120 | এ্যারিস্টোফার্মা | ফেক্সোফেনাডিন ১২০ মি.গ্রা. | উপকারিতা: অ্যালার্জি ও সর্দি। অপকারিতা: অবসাদ ভাব। ব্যবহার: রাতে ১টি। মূল্য: ৮.০০ টাকা।
monas 10 | একমি ল্যাবরেটরিজ | মনটেলুকাস্ট ১০ মি.গ্রা. | উপকারিতা: অ্যাজমা রোগীদের জন্য সেরা। অপকারিতা: মেজাজ খিটখিটে হওয়া। ব্যবহার: রাতে ১টি। মূল্য: ১৬.০০ টাকা।
alatrol syrup | একমি ল্যাবরেটরিজ | সেটিরিজিন সিরাপ (বাচ্চাদের) | উপকারিতা: বাচ্চাদের চুলকানি ও সর্দি। অপকারিতা: ঘুম পায়। ব্যবহার: ১ চামচ করে ২ বার। মূল্য: ৪০.০০ টাকা।
metrol 400 | ওপসোনিম ফার্মাসিউটিক্যালস | মেট্রোনিডাজল ৪০০ মি.গ্রা. | উপকারিতা: আমাশয় ও দাঁতের গোড়ার ইনফেকশন। অপকারিতা: তিতা স্বাদ। ব্যবহার: ৫ দিন কোর্স। মূল্য: ৫.০০ টাকা।
flagyl 400 | ইনসেপ্টা ফার্মাসিউটিক্যালস | মেট্রোনিডাজল ৪০০ মি.গ্রা. | উপকারিতা: পেটের রোগ ও পরজীবী সংক্রমণ। অপকারিতা: মাথা ঘোরা। ব্যবহার: খাবারের পরে। মূল্য: ৫.০০ টাকা।
ecosprin 75 | একমি ল্যাবরেটরিজ | এসপিরিন ৭৫ মি.গ্রা. | উপকারিতা: রক্ত পাতলা রেখে স্ট্রোক প্রতিরোধ। অপকারিতা: রক্তপাতের ঝুঁকি। ব্যবহার: প্রতিদিন ১টি। মূল্য: ১.৫০ টাকা।
clopid 75 | ইনসেপ্টা ফার্মাসিউটিক্যালস | ক্লোপিডোগ্রেল ৭৫ মি.গ্রা. | উপকারিতা: হার্ট অ্যাটাক ও স্ট্রোক সুরক্ষা। অপকারিতা: পেটে জ্বালাপোড়া। ব্যবহার: রাতে ১টি। মূল্য: ১২.০০ টাকা।
lipiget 10 | ইনসেপ্টা ফার্মাসিউটিক্যালস | অ্যাটরভাস্ট্যাটিন ১০ মি.গ্রা. | উপকারিতা: ক্ষতিকর কোলেস্টেরল কমানো। অপকারিতা: পেশিতে ব্যথা। ব্যবহার: রাতে শোয়ার আগে। মূল্য: ১০.০০ টাকা।
fenadin 120 | রেনাটা লিমিটেড | ফেক্সোফেনাডিন ১২০ মি.গ্রা. | উপকারিতা: অ্যালার্জি ও হাঁচি। অপকারিতা: ক্লান্তি ভাব। ব্যবহার: রাতে ১টি। মূল্য: ৯.০০ টাকা।
entacyd chewable | স্কয়ার ফার্মাসিউটিক্যালস | এন্টাসিড চিবিয়ে খাওয়ার | উপকারিতা: তাৎক্ষণিক গ্যাস্ট্রিক রিলিফ। অপকারিতা: পেট কষা হওয়া। ব্যবহার: প্রয়োজনে ১-২টি। মূল্য: ২.০০ টাকা।
losectil 20 | এসকেএফ (SK+F) | ওমেপ্রাজল ২০ মি.গ্রা. | উপকারিতা: পাকস্থলীর অতিরিক্ত এসিড নিয়ন্ত্রণ। অপকারিতা: পেট কামড়ানো। ব্যবহার: খালি পেটে। মূল্য: ৫.০০ টাকা।
torenta 400 | রেনাটা লিমিটেড | পেন্টক্সিফাইলিন ৪০০ মি.গ্রা. | উপকারিতা: হাত-পা ঝিনঝিন ও রক্ত প্রবাহ বাড়াতে। অপকারিতা: মাথাব্যথা। ব্যবহার: ভরা পেটে। মূল্য: ৫.০০ টাকা।
ebastin 10 | এ্যারিস্টোফার্মা | ইবাস্টিন ১০ মি.গ্রা. | উপকারিতা: পুরনো চর্মরোগের অ্যালার্জি। অপকারিতা: ঘুম পায়। ব্যবহার: রাতে ১টি। মূল্য: ১০.০০ টাকা।
pantix 20 | ইনসেপ্টা ফার্মাসিউটিক্যালস | প্যান্টোপ্রাজল ২০ মি.গ্রা. | উপকারিতা: এসিডিটি ও পেট ফোলার আরাম। অপকারিতা: ডায়রিয়া। ব্যবহার: খালি পেটে। মূল্য: ৭.০০ টাকা।
zinco | একমি ল্যাবরেটরিজ | জিংক সালফেট (সিরাপ/ট্যাবলেট) | উপকারিতা: শিশুদের পাতলা পায়খানা ও রুচি। অপকারিতা: বমি বমি ভাব। ব্যবহার: ১০-১৫ দিন নিয়মিত। মূল্য: ৫.০০ টাকা।
folison | ড্রাগ ইন্টারন্যাশনাল | আয়রন ও ফলিক এসিড | উপকারিতা: শরীরের রক্ত বৃদ্ধি ও শক্তি। অপকারিতা: কালো পায়খানা। ব্যবহার: প্রতিদিন ১টি। মূল্য: ৫.০০ টাকা।
calbo d 500 | স্কয়ার ফার্মাসিউটিক্যালস | ক্যালসিয়াম ও ভিটামিন ডি৩ | উপকারিতা: গর্ভবতী মা ও বয়স্কদের হাড়ের সুরক্ষা। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: ভরা পেটে। মূল্য: ৮.০০ টাকা।
alacot drops | হেলথকেয়ার ফার্মাসিউটিক্যালস | চোখের ড্রপ | উপকারিতা: চোখের চুলকানি ও লাল ভাব। অপকারিতা: ঝাপসা দেখা। ব্যবহার: ১ ফোঁটা ৩ বার। মূল্য: ১২০.০০ টাকা।
tusca liquid | বেক্সিমকো ফার্মাসিউটিক্যালস | কাশির সিরাপ | উপকারিতা: খুশখুশে কাশি ও কফ পরিষ্কার। অপকারিতা: তন্দ্রাচ্ছন্নতা। ব্যবহার: ২ চামচ ৩ বার। মূল্য: ৯০.০০ টাকা (ফাইল)।
gastab 20 | রেনাটা লিমিটেড | ম্যাগনেসিয়াম ও অ্যালুমিনিয়াম | উপকারিতা: দ্রুত গ্যাসের ব্যথা কমানো। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: চিবিয়ে খাওয়া। মূল্য: ২.৫০ টাকা।
vergon 24 | ড্রাগ ইন্টারন্যাশনাল | বেটাহিস্টিন ২৪ মি.গ্রা. | উপকারিতা: মাথা ঘোরা ও কান দিয়ে শব্দ হওয়া। অপকারিতা: বমি ভাব। ব্যবহার: দিনে ২ বার। মূল্য: ৮.০০ টাকা।
anaryl 2 | ইনসেপ্টা ফার্মাসিউটিক্যালস | ক্লোরফেনিরামিন ২ মি.গ্রা. | উপকারিতা: অ্যালার্জি ও হাঁচি সর্দি। অপকারিতা: প্রচণ্ড ঘুম ভাব। ব্যবহার: রাতে ১টি। মূল্য: ১.০০ টাকা।
savlon liquid | এসিআই লিমিটেড | ক্লোরহেক্সিডিন সলিউশন | উপকারিতা: কাটাছেঁড়া ও জীবাণুনাশক। অপকারিতা: জ্বালাপোড়া। ব্যবহার: পানিতে মিশিয়ে। মূল্য: ৩০-৮০ টাকা।
myolax 5 | ইনসেপ্টা ফার্মাসিউটিক্যালস | টিজানিডিন ৫ মি.গ্রা. | উপকারিতা: তীব্র ঘাড় বা কোমর ব্যথা। অপকারিতা: ঝিমুনি ও দুর্বলতা। ব্যবহার: রাতে ১টি। মূল্য: ৮.০০ টাকা।
emistat 8 | পপুলার ফার্মাসিউটিক্যালস | অনডানসেট্রন ৮ মি.গ্রা. | উপকারিতা: বমি ও বমি বমি ভাব রোধ। অপকারিতা: মাথাব্যথা। ব্যবহার: খাবারের আগে। মূল্য: ৮.০০ টাকা।
flonida cream | ইনসেপ্টা ফার্মাসিউটিক্যালস | ফ্লুসিনোলোন ক্রিম | উপকারিতা: একজিমা ও সোরাইসিস। অপকারিতা: জ্বালা করা। ব্যবহার: পাতলা করে মাখুন। মূল্য: ৪০.০০ টাকা।
zinovit capsule | ড্রাগ ইন্টারন্যাশনাল | মাল্টিভিটামিন ও জিংক | উপকারিতা: শরীরের ইমিউনিটি ও দুর্বলতা রোধ। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: প্রতিদিন রাতে। মূল্য: ৭.০০ টাকা।
pedic 5% | রেনাটা লিমিটেড | পারমেথ্রিন লোশন | উপকারিতা: উকুন ও চুলকানি (খোঁচপাচড়া) রোধ। অপকারিতা: চামড়া জ্বলা। ব্যবহার: সারা শরীরে মেখে ধোয়া। মূল্য: ৮০.০০ টাকা।
amaryl 2 | ইনসেপ্টা ফার্মাসিউটিক্যালস | গ্লিম্পিরাইড ২ মি.গ্রা. | উপকারিতা: টাইপ-২ ডায়াবেটিস নিয়ন্ত্রণ। অপকারিতা: সুগার কমে যাওয়া। ব্যবহার: নাস্তার আগে। মূল্য: ৮.০০ টাকা।
femicon | রেনাটা লিমিটেড | জন্মনিয়ন্ত্রণ পিল | উপকারিতা: অনাকাঙ্ক্ষিত গর্ভধারণ রোধ। অপকারিতা: মেজাজ পরিবর্তন। ব্যবহার: প্রতিদিন ১টি। মূল্য: ৩০.০০ টাকা।
maya pill | এসএমসি (SMC) | পরিবার পরিকল্পনা পিল | উপকারিতা: নিরাপদ জন্মনিয়ন্ত্রণ। অপকারিতা: মাথাব্যথা। ব্যবহার: নির্দিষ্ট নিয়মে নিয়মিত। মূল্য: ২৫.০০ টাকা।
sensodyne gum | জিএসকে (GSK) | টুথপেস্ট | উপকারিতা: দাঁতের শিরশিরানি কমানো। অপকারিতা: নেই। ব্যবহার: প্রতিদিন ২ বার। মূল্য: ৯০-১৬০ টাকা।
dentogel 5% | বিকন ফার্মাসিউটিক্যালস | মাড়ির ব্যথার জেল | উপকারিতা: দাঁত ও মাড়ির ব্যথায় তাৎক্ষণিক। অপকারিতা: নেই। ব্যবহার: মাড়িতে মালিশ। মূল্য: ৬০.০০ টাকা।
v-gel herbal | হিমালয়া ড্রাগ কোম্পানি | ভ্যাজাইনাল জেল | উপকারিতা: গোপন অঙ্গের চুলকানি ও ইনফেকশন। অপকারিতা: হালকা জ্বালা। ব্যবহার: প্রয়োজন অনুযায়ী। মূল্য: ১০০-১৫০ টাকা।
betadine gargle | জিএসকে (GSK) | অ্যান্টিসেপটিক গার্গল | উপকারিতা: গলা ব্যথা ও টনসিল ইনফেকশন। অপকারিতা: বাজে স্বাদ। ব্যবহার: কুলি করা। মূল্য: ১২০.০০ টাকা।
orsaline fruit n | এসকেএফ (SK+F) | ডায়রিয়ার খাবার স্যালাইন | উপকারিতা: রুচি ও শক্তি বৃদ্ধি। অপকারিতা: নেই। ব্যবহার: আধা লিটার পানিতে। মূল্য: ৬.০০ টাকা।
b-complex syrup | এসকেএফ (SK+F) | ভিটামিন বি সিরাপ (শিশুদের) | উপকারিতা: বাচ্চাদের ভিটামিন অভাব পূরণ। অপকারিতা: পেট ভার হওয়া। ব্যবহার: ১ চামচ করে ২ বার। মূল্য: ৫০.০০ টাকা।
hemotag 500 | হেলথকেয়ার ফার্মাসিউটিক্যালস | ট্রানেক্সামিক এসিড | উপকারিতা: অতিরিক্ত রক্তপাত বন্ধ করা। অপকারিতা: বুক ধড়ফড় করা। ব্যবহার: চিকিৎসকের পরামর্শে। মূল্য: ২০.০০ টাকা।
neurogen 75 | ইনসেপ্টা ফার্মাসিউটিক্যালস | প্রেগাবালিন ৭৫ মি.গ্রা. | উপকারিতা: স্নায়ুর প্রচণ্ড ব্যথা ও অনিদ্রা। অপকারিতা: তন্দ্রাচ্ছন্নতা। ব্যবহার: রাতে ১টি। মূল্য: ১২.০০ টাকা।
asofest extra | পপুলার ফার্মাসিউটিক্যালস | ব্যথানাশক | উপকারিতা: হাড়ের পুরনো ব্যথায় কার্যকর। অপকারিতা: আলসার। ব্যবহার: ভরা পেটে। মূল্য: ১৫.০০ টাকা।
c-vit chewable | স্কয়ার ফার্মাসিউটিক্যালস | ভিটামিন সি ট্যাবলেট | উপকারিতা: ভিটামিনের ঘাটতি ও সর্দি রোধ। অপকারিতা: পেট ফাঁপা। ব্যবহার: দিনে ২ বার। মূল্য: ২.০০ টাকা।
doxacap 100 | রেনাটা লিমিটেড | ডক্সিসাইক্লিন ১০০ মি.গ্রা. | উপকারিতা: ব্রণের সমস্যা ও ফুসফুস ইনফেকশন। অপকারিতা: বুক জ্বালা। ব্যবহার: ভরা পেটে। মূল্য: ৩.০০ টাকা।
sergel 20 mg | হেলথকেয়ার ফার্মাসিউটিক্যালস | ইসোমিপ্রাজল ২০ মি.গ্রা. | উপকারিতা: পেটের এসিড ও গ্যাস নিয়ন্ত্রণ। অপকারিতা: মাথাব্যথা। ব্যবহার: খালি পেটে। মূল্য: ৭.০০ টাকা।
fexo 120 mg | এ্যারিস্টোফার্মা | ফেক্সোফেনাডিন ১২০ মি.গ্রা. | উপকারিতা: সর্দি ও অ্যালার্জি জনিত হাঁচি। অপকারিতা: অবসাদ। ব্যবহার: রাতে ১টি। মূল্য: ৮.০০ টাকা।
monas 10 mg | একমি ল্যাবরেটরিজ | মনটেলুকাস্ট ১০ মি.গ্রা. | উপকারিতা: অ্যাজমা ও কাশির আরাম। অপকারিতা: ঘুমের ব্যাঘাত। ব্যবহার: রাতে ১টি। মূল্য: ১৬.০০ টাকা।
